title,duration_100(duration)
Bhouri,123
Bibi & Tina II,105
Bibi & Tina: Girls Versus Boys,107
Bibi & Tina: Tohuwabohu Total,106
Big Kill,126
Big Miracle,107
Big Stone Gap,103
Biggie & Tupac,108
Billu,132
Billy Elliot,110
Bilu Rakkhosh,127
Bioscope,131
Bir Baba Hindu,107
Bird Box,124
Birdshot,115
Bitcoin Heist,116
Bittersweet,132
Bittoo Boss,117
Black,137
Black Friday,162
Black Hawk Down,144
Black Mirror: Bandersnatch,312
Black Panther,135
Black Sea,114
Black Snake Moan,116
BLAME!,106
Blaze,129
Bleed for This,120
Blind Detective,130
Blitz Patrollie,102
Blood Money,110
Blood Will Tell,113
Blow,123
Blue Is the Warmest Color,180
Blue Valentine,112
BluffMaster!,129
BNK48: Girls Don't Cry,108
Bobby,168
Bobby Jasoos,116
Bobby Sands: 66 Days,106
Bodyguard,130
Bogda,161
Boi,111
Bollywood Calling,102
Bombairiya,108
Bombay Talkies,123
Bon Cop Bad Cop 2,126
"Bon Cop, Bad Cop",117
Bonnie and Clyde,111
Boss,139
Bosta,112
Boy Missing,105
Bratz: The Movie,102
Break Ke Baad,108
Break Up 100,105
Breaking the Bank,105
Breath,116
Brick,110
Bride For Rent,110
Bright,118
Brooklyn's Finest,133
Brother in Love,110
Brotherhood of Blades II: The Infernal Battlefield,120
Brothers,155
Bucket List,129
Budapest,103
Buddies,103
Buffalo Boys,103
Burlesque,119
Burn Out,104
Burning,148
Burning Sands,102
Butterfield 8,108
BuyBust,128
Bwakaw,110
By the Sea,122
Bye Bye London,177
Bygones Be Bygones,104
Bypass Road,135
C Kkompany,127
Cézanne et moi,114
Cahaya Dari Timur Beta Maluku,151
Cake,125
Calendar Girls,126
Calibre,101
Camarón: The Film,105
Camera Store,104
Camp Cool Kids,104
Camp X-Ray,117
Can't Hardly Wait,101
Can't Help Falling in Love,120
Can’t Complain,114
Candyflip,104
Capital in the Twenty-First Century,103
Cappuccino,126
Carbon,104
Care of Kancharapalem,142
Caregiver,131
Cargo,113
Carol,119
Case 39,111
Casino Royale,145
Casino Tycoon,125
Casino Tycoon 2,108
Cat on a Hot Tin Roof,108
Catch Me If You Can,141
Catching Feelings,117
Celebrity Marriage,107
Celluloid Man,156
Cemara's Family,110
Center Stage,116
Chaahat,148
Chaar Sahibzaade,126
